Question;Answer
How should I write the commit messages in QAWare?;"Commit messages should be written in the form ""type(category): Short description"", e.g. ""feat(authentication): Implement login functionality""."
How can I report a bug in a QAWare GitHub project?;To report a bug in a QAWare GitHub project, create a new issue and use the provided bug template.
What kind of tests does QAWare apply to GitHub projects?;QAWare uses unit, integration, and end-to-end testing for its GitHub projects.
How do I run tests for a QAWare project on GitHub?;To run tests for a QAWare project on GitHub, follow the instructions in the README file for that project.
Does QAWare have code review guidelines for GitHub projects?;Yes, QAWare has code review policies to ensure that the code is of high quality and complies with the project guidelines.
How long should I wait for feedback on my pull request to QAWare?;You should receive feedback on your pull request within 48 hours.
Is there an automatic CI/CD pipeline for QAWare projects on GitHub?;Yes, QAWare projects on GitHub use an automated CI/CD pipeline that performs tests, builds, and deployments.
How do I request a code review from a colleague at QAWare?;To request a code review from a colleague, add the desired reviewer in the pull request page and mark them in the comments.
What are the main programming languages used in QAWare projects on GitHub?;QAWare projects on GitHub mainly use Java, JavaScript, Python and Ruby.
Does QAWare have a list of supported technology stacks for GitHub projects?;Yes, QAWare has a list of preferred technology stacks that should be used for GitHub projects. This list is available on the internal Confluence wiki.
How are environment variables managed in QAWare projects on GitHub?;Environment variables are managed via .env files and secret repository settings.
How do I use Linter in GitHub projects with QAWare?;With QAWare, linters are executed automatically via build scripts or Git hooks. The configurations for this are included in the respective project repository.
Does QAWare have templates for creating new GitHub projects?;Yes, QAWare has project templates that can be used when setting up new GitHub projects. They are available in the internal documentation.
How can I migrate an existing GitHub project to the QAWare repository?;To migrate an existing GitHub project, contact the QAWare repository administrator and follow the instructions provided.
What are the QAWare permission levels for GitHub repositories?;QAWare's permission levels for GitHub repositories are Read, Write, and Admin.
How can I request access to a private QAWare GitHub repository?;To gain access to a private QAWare GitHub repository, contact the repository administrator or your supervisor.
How is documentation managed for QAWare projects on GitHub?;Documentation for QAWare projects is mostly maintained in the repository itself or in the internal Confluence wiki.
Does QAWare have a list of internal code libraries that can be used in GitHub projects?;Yes, QAWare has a list of internal code libraries that can be used in GitHub projects. This list is available on the internal Confluence wiki.
How is version management done for QAWare projects on GitHub?;Version management in QAWare projects is done by Semantic Versioning and Git tags.
How can I update the dependencies of a QAWare project on GitHub?;To update the dependencies of a QAWare project, use the package manager used for that project (e.g. npm, Maven, Gradle) and follow the instructions in the project README.
What is the usual process for fixing security vulnerabilities in QAWare projects on GitHub?;To address security vulnerabilities in QAWare projects, create a new issue with the appropriate vulnerability template and work closely with the security team to resolve the issues.
How can I find out about upcoming maintenance or outages of the GitHub services used by QAWare?;Information about upcoming maintenance or outages is provided via internal communication channels, such as email or Slack.
How can I access the QAWare Google Drive?;Open your browser and go to drive.google.com, then log in with your QAWare account.
How do I create a new document on QAWare Google Drive?;"In Google Drive, select the ""New"" option and click ""Google Docs"" or the desired file format."
Can I share files directly from my QAWare Google Drive?;Yes, click the file you want and select the Share icon or the Share option from the right-click menu.
How can shared QAWare Google Drive documents be edited together?;If the document has been shared, all authorized people can edit the document at the same time by opening it and making changes.
How do I make files available in QAWare Google Drive for external partners?;"Create a ""share link"" for the file and send it to the appropriate person or group."
How can I revoke access to shared files in QAWare Google Drive?;"Open the file, go to ""Share"" and remove the permission of the corresponding person or group."
Is there a way to version files in QAWare Google Drive?;Yes, Google Drive automatically creates a version history for each file, which you can view in detail.
How do I find a specific file on QAWare Google Drive?;Use the search bar at the top of Google Drive to search by file name, content, or other criteria.
How do I create a folder in QAWare Google Drive?;"Click ""New"" and select ""Folder"" from the menu to create a new folder."
Can I synchronize files from QAWare Google Drive on my computer?;Yes, download and install the Google Drive app to sync files between your computer and Google Drive.
How can I restrict sharing of QAWare Google Drive files if needed?;Open the file's sharing settings and adjust the access settings as needed.
How can I archive files in QAWare Google Drive?;"Create an archive folder and move the files there or mark them with the tag ""Archived""."
How can I expand the storage space in QAWare Google Drive?;Please contact QAWare's IT department to extend the storage space.
What happens when I delete a file in QAWare Google Drive?;The file will be moved to the recycle bin and automatically deleted after 30 days, unless it is restored first.
How can I make files available offline in QAWare Google Drive?;"Enable the ""Available offline"" option in the file settings or in the Google Drive app on your device."
Which JetBrains products are used with QAWare?;The main JetBrains products used at QAWare are IntelliJ IDEA, PhpStorm, PyCharm, WebStorm, ReSharper and TeamCity.
How does QAWare integrate IntelliJ IDEA into its workflow?;IntelliJ IDEA is used as the preferred IDE for Java and Kotlin development at QAWare, using customized plug-ins and settings for efficient programming.
How is ReSharper used in QAWare projects?;ReSharper is used at QAWare to improve productivity and code quality in .NET projects by providing automatic refactoring, code analysis and bug fixes.
What are the benefits of QAWare using PhpStorm?;By using PhpStorm with QAWare, developers benefit from a powerful IDE for PHP development, including efficient code navigation, automatic error recovery, and framework integration.
To what extent does QAWare use PyCharm for its Python projects?;PyCharm is used at QAWare for Python development, allowing developers to benefit from intelligent code completion, real-time code analysis, and scientific library integration.
How is WebStorm used for front-end development at QAWare?;QAWare uses WebStorm as the main IDE for JavaScript, TypeScript, HTML, and CSS development, increasing productivity with powerful features such as intelligent code completion and automatic error recovery.
How has QAWare integrated TeamCity into its CI/CD pipeline?;TeamCity was incorporated into QAWare as a central platform for Continuous Integration and Continuous Deployment to ensure an automated and reliable system for building, testing and deploying software.
What plugins does QAWare use in IntelliJ IDEA for efficient development?;Some of QAWare's favorite IntelliJ IDEA plugins include SonarLint, Lombok, Checkstyle IDEA, and GitToolBox, all of which help improve code quality and developer productivity.
How does QAWare improve code quality with ReSharper?;QAWare uses ReSharper to perform static code analysis, promote best practices, and enable automatic refactoring and bug fixes to improve code quality.
How does QAWare use PhpStorm to integrate PHP frameworks?;QAWare relies on PhpStorm for integrating PHP frameworks such as Symfony, Laravel and Zend to accelerate the development of scalable and maintainable applications.
How many monitors does QAWare provide to its employees?;Each employee at QAWare is given two screens to work efficiently.
What kind of keyboard is provided by QAWare?;QAWare offers ergonomic keyboards to promote employee comfort and health.
Can employees use their own mouse?;Yes, employees are allowed to bring and use their preferred mouse as long as it is compatible with the company's internal systems.
What kind of laptop do employees receive?;QAWare provides its employees with powerful, up-to-date laptops to effectively manage their tasks.
Is there any way to request an ergonomic chair?;Yes, ergonomic chairs can be requested by employees from Human Resources.
Are headsets available for conference calls?;QAWare provides its employees with high-quality headsets to ensure optimal communication during conference calls.
How to request additional technical equipment?;Employees can request additional equipment through the internal ticket system and the IT team will review the need.
What software licenses are provided by QAWare?;QAWare provides licenses for the required software, such as development environments, project management tools and collaboration software.
Is there training on how to use the technology provided?;Yes, QAWare offers regular training and workshops to familiarize employees with the tools and technologies provided.
Does QAWare provide mobile devices for its employees?;Yes, QAWare offers company cell phones and tablets to its employees to facilitate communication and collaboration.
What are the opening hours of the QAWare office?;The QAWare office is open weekdays from 8:00 am to 6:00 pm.
Where can I find the kitchen in the QAWare office?;The kitchen is located on the first floor, next to the lounge.
Are parking spaces available for employees?;There is company parking behind the building for the staff.
Is there a dress code at QAWare?;QAWare prefers a casual dress code as long as it is appropriate and professional.
Where can I park my bike at QAWare?;There is a covered bike rack in the back of the building.
How does the access control system work at QAWare?;Employees receive a personalized access card with which they can open the doors.
Does QAWare have a quiet room?;Yes, there is a rest room on the second floor where employees can relax.
Where are the restrooms located in the QAWare office?;Toilets can be found on each floor next to the staircase.
Are pets allowed in the QAWare office?;Yes, well behaved pets are allowed at QAWare as long as they do not cause a disturbance.
Who is the contact person for technical problems in the office?;In case of technical difficulties, contact IT support at the internal extension 112.
Where can I find printers and copiers in the office?;Printers and copiers are located near the reception area.
How is smoking regulated in the QAWare office?;Smoking is not permitted inside the building, but there is a designated smoking area outside.
Does QAWare offer a company pension plan?;Yes, QAWare offers an attractive company pension plan for its employees.
Who is responsible for vacation scheduling and approval?;For leave requests, please contact your team leader or Human Resources.
What are the main languages spoken at QAWare?;German and English are the most commonly used languages in the company.
Are team events common at QAWare?;Yes, QAWare regularly hosts team events and company parties to promote cohesion and communication.
Does QAWare have a canteen?;Yes, there is a canteen on the first floor that offers fresh and healthy meals.
Where can I reserve meeting rooms in the QAWare office?;Meeting rooms can be booked via the company's internal reservation system.
Is there a way to shower in the office?;Yes, showers are available for employees in the basement.
What is the remote working policy at QAWare?;QAWare allows its employees flexible working models, including remote work as agreed with the team.
Who is the contact person for personnel matters?;For personnel matters, please contact the Human Resources Department at the internal extension 210.
Is QAWare environmentally conscious?;QAWare places a high value on sustainability and is committed to environmentally friendly practices in the office.
Does QAWare have a company agreement?;Yes, QAWare has a company agreement that can be viewed on the company intranet.
What kind of projects does QAWare mainly handle?;QAWare works on a variety of projects, from web and mobile development to artificial intelligence and cloud computing.
Does QAWare have a buddy program for new employees?;Yes, QAWare offers a buddy program where experienced colleagues assist new employees.
What is the performance appraisal process at QAWare?;Performance appraisals take place annually and include an interview with the team leader and self-reflection.
Is overtime common at QAWare?;QAWare values work-life balance and encourages employees to keep overtime to a minimum.
How are the break times regulated at QAWare?;Employees at QAWare can arrange their break times independently and flexibly, as long as working hours are respected.
Is there a way to arrange childcare at QAWare?;QAWare offers its employees assistance in finding suitable childcare options nearby.
What does health management look like at QAWare?;QAWare offers regular health checks, ergonomic workstations and sports activities for its employees.
How is the corporate structure of QAWare organized?;QAWare's organization is divided into different teams, each belonging to different business units.
Can you tell me more about the hierarchy at QAWare?;QAWare has a flat hierarchy that promotes collaboration and communication between team members.
How many employees does QAWare have?;QAWare currently employs around 200 dedicated professionals in various areas of software development and IT consulting.
Where is QAWare's headquarters located?;QAWare is headquartered in the city of Munich, Germany.
Who is the CEO of QAWare?;The managing director of QAWare is Dr. Anna Müller.
In which industries does QAWare operate?;QAWare operates in a variety of industries, including financial services, healthcare, telecommunications and retail.
What is the vision of QAWare?;QAWare's vision is to passionately develop and operate mission-critical digital products while providing appropriate solutions and leveraging architecture, methodology and platform expertise.
How long is the probationary period at QAWare?;The trial period at QAWare is usually three months.
What kind of work culture does QAWare foster?;QAWare fosters an open, collaborative, and innovative work culture where employees can realize their potential and succeed together.
